詞目id,漢字,異用字
5106,查埔人,查甫儂
5106,查埔人,查埔儂
5107,查埔囝,查甫囝
5107,查埔囝,查甫子
5107,查埔囝,查埔子
5111,枵鬼,飢鬼
5111,枵鬼,餓鬼
5112,架跤,架骹
5112,架跤,架腳
5114,枵飽吵,飢飽吵
5118,枵饞,飢饞
5118,枵饞,餓饞
5118,枵饞,枵豺
5137,洘旱,涸旱
5138,洗汰,洗汏
5148,洗衫枋,洗衫板
5154,歪喙,歪嘴
5155,洗喙,洗嘴
5171,炭,碳
5187,狡怪,狡獪
5189,炭空,碳空
5189,炭空,炭孔
5189,炭空,碳孔
5190,炭屎,碳屎
5194,活欲,活要
5207,流糍,流餈
5207,流糍,流粢
5208,流豬哥瀾,流豬哥涎
5213,流瀾,流涎
5214,炭礦,碳礦
5215,牲醴,牲禮
5229,相𫝛,相像
5234,相仝,相共
5243,相佮,相合
5243,相佮,相及
5244,相卸代,相卸事
5248,相拍,相打
5248,相拍,相扑
5250,相拍電,相打電
5250,相拍電,相扑電
5251,相拍雞仔,相打雞仔
5251,相拍雞仔,相扑雞仔
5261,相倚,相偎
5263,相唚,相親
5273,相舂,相爭
5273,相舂,相衝
5273,相舂,相掙
5274,相連紲,相連續
5280,相楗,相拱
5280,相楗,相挭
5286,盹瞌睡,拄磕睡
5290,相諍,相爭
5296,盹龜,拄龜
5296,盹龜,拄痀
5296,盹龜,盹眗
5318,看人無,看儂無
5341,看袂起,看𣍐起
5369,耍,爽
5384,紅毛塗,紅毛土
5420,紅塗,紅土
5424,紅膏赤蠘,紅膏赤脂
5433,紅龜粿,紅龜餜
5438,胡蠅,葫蠅
5440,胡蠅拍仔,胡蠅打仔
5440,胡蠅拍仔,胡蠅扑仔
5449,苛,科
5485,苳蒿,冬蒿
5485,苳蒿,苳萵
5485,苳蒿,茼萵
5487,苛頭,科頭
5489,虼蚻,虼蠽
5489,虼蚻,虼蠘
5489,虼蚻,加絕
5518,重巡,重紃
5525,重重疊疊,重重沓沓
5527,重食,重噍
5527,重食,重吃
5529,迫倚,迫偎
5533,訂婚,定婚
5535,重敧爿,重敧旁
5551,限數,限賬
5553,重擔,重担
5570,食,噍
5570,食,吃
5573,食人,食儂
5573,食人,噍儂
5573,食人,吃人
5574,食力,噍力
5574,食力,吃力
5582,食外口,噍外口
5582,食外口,吃外口
5587,食名,噍名
5587,食名,吃名
5589,食老,噍老
5589,食老,吃老
5590,食色,噍色
5590,食色,吃色
5593,風吹輪,風吹輾
5598,食命,噍命
5598,食命,吃命
5602,食物,噍物
5602,食物,吃物
