義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
1588,月頭,月初。每月起初的幾天。,1290,月尾,月底。指一個月的最後幾天。
1588,月頭,月初。每月起初的幾天。,23015,月底,月底。每個月的最後幾天。
1626,毋願,不甘心。心裡不服氣，不情願。,2606,甘心,寧願、情願。自己願意，沒有半點勉強。
1626,毋願,不甘心。心裡不服氣，不情願。,2780,甘願,寧願、情願。自己願意，沒有半點勉強。
1638,毋驚,不怕。不畏縮、不膽怯。,18033,驚,吃驚、害怕。
1673,牛母,母牛。,1712,牛犅,公牛。
1712,牛犅,公牛。,1673,牛母,母牛。
1800,主人,擺設宴席款待賓客的人。,165,人客,客人、賓客、顧客。
1815,代先,事先、預先。,4967,事後,事務已成定局之後，或事情發生之後。
1815,代先,事先、預先。,6922,後來,指一段時間之後。
1815,代先,事先、預先。,13613,落尾,後來、最後。
1817,代先,最前頭。,5725,押後,殿後，在最後面。
1817,代先,最前頭。,22947,押尾後,殿後。走在最後面。
1842,以前,指早於某一段時間之前的時間。,1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
1842,以前,指早於某一段時間之前的時間。,9926,將來,未來。尚未到的時候。
1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,1842,以前,指早於某一段時間之前的時間。
1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,3069,向時,從前、昔日。
