詞目id,詞目漢字,對應詞目id,對應詞目漢字
14279,欲晝仔,5756,倚晝
14279,欲晝仔,20128,日欲晝
14281,涼腔,20132,涼腔仔話
14285,清飯,1970,白飯
14285,清飯,20133,白米飯
14291,紲落來,20137,閣來
14302,頂下歲,20147,頂下歲仔
14305,鳥鼠仔色,8530,殕色
14305,鳥鼠仔色,20148,殕的
14306,鳥鼠仔糖,20149,雙仁潤
14314,報戶口,20151,入戶口
14314,報戶口,20152,入家甲
14324,智覺,8763,發覺
14324,智覺,9471,感覺
14327,殘殘,20156,殘殘脆脆
14328,湠根,1960,生湠
14328,湠根,24710,生根
14329,湳仔地,19844,湳仔
14344,粟埕,11261,稻埕
14344,粟埕,20159,大埕
14344,粟埕,20160,灰埕
14348,菜宅,20161,宅仔
14360,閒煩,20166,閒煩惱
14368,媽祖婆,9412,媽祖
14368,媽祖婆,20171,媽祖娘
14372,搭胸坎,20173,頓胸坎
14377,暗安,26427,晚安
14378,暗唸,20175,越唸
14378,暗唸,20176,暗記
14381,會得過,20179,會當過
14388,溜旋,7431,旋
14388,溜旋,9951,落跑
14388,溜旋,14471,閬港
14395,碎鹽鹽,9798,碎糊糊
14395,碎鹽鹽,19311,碎溶溶
14399,萬丈深坑,20193,萬底深坑
14399,萬丈深坑,20194,無底深坑
14400,萬不幸,9868,萬一
14400,萬不幸,20195,萬不二
14410,浮浪貢,18787,浮浪貢的
14411,蒂頭,20200,蒂頭仔
14422,隔工,10294,隔日
14422,隔工,10347,隔轉工
14422,隔工,10348,隔轉日
14422,隔工,20205,翻轉工
14422,隔工,20206,翻轉日
14423,電子批,20207,電批
14423,電子批,20208,電腦批
14424,電頭毛店,4760,剃頭店
14424,電頭毛店,10343,電頭鬃店
14424,電頭毛店,18657,美容院
14424,電頭毛店,20209,頭毛店
14425,頓蹬,20210,頓蹄
14426,飽漿,20211,飽米
14429,墓紙,20213,墓錢
14429,墓紙,20214,古仔紙
14432,對重,20217,致重
14435,摔大眠,20220,睏大豬
14438,歌仔先,20265,歌仔仙
14443,漚戲拖棚,20223,歹戲拖棚
14454,噗仔聲,25786,掌聲
14461,練仙,9208,開講
14461,練仙,14222,破豆
14461,練仙,14414,話仙
14461,練仙,20234,冇談
14461,練仙,20264,練先
14468,豬母癲,2704,羊眩
14468,豬母癲,20240,羊頭眩
14470,閬雨縫,20241,閬雨站
14477,樹奶束仔,11708,樹奶
14477,樹奶束仔,20248,樹奶索仔
14477,樹奶束仔,20249,樹奶箍仔
14480,燃水,20252,燃茶
14491,賴賴趖,20257,賴賴行
14492,鋸屑烌,20258,鋸屑
14497,霎霎仔雨,4516,雨毛仔
14497,霎霎仔雨,4647,雨霎仔
14497,霎霎仔雨,20266,毛毛仔雨
14501,頭篩仔,20270,面頂百
14501,頭篩仔,20271,頭面頂百
14503,鴨雄仔聲,20274,鴨公聲
14505,䆀豆仔,20275,䆀豆
14505,䆀豆仔,20276,粉豆
14529,藥頭,12863,藥頭仔
14552,變弄,13313,變猴弄
14553,變相,1045,反常
14553,變相,13312,變款
