詞目id,漢字,羅馬字
7443,梅,muâi
7447,梅仔,muâi-á
7448,梅仔餅,muâi-á-piánn
7454,梅毒,muâi-to̍k
7480,欶奶,suh lin
7496,條款,tiâu-khuánn
7504,棄權,khì-kuân
7545,淺眠,khín-bîn
7565,清糜,tshing-muâi
7588,現此時,hiān-tsú-sî
7605,球桮,kiû-pe
7647,盒仔,a̍h-á
7659,眼前,gán-tsîng
7709,章程,tsiong-tîng
7727,羞,siu
7773,紹興酒,siāu-hin-tsiú
7797,船員,tsûn-guân
7798,脯脯,pôo-pôo
7808,脫離,thuat-lî
7883,被囊,phuē-long/phē-long
7963,販貨,phuà-huè/phuà-hè
7966,貧惰,pûn-tuānn
7966,貧惰,pân-tuānn
7966,貧惰,pān-tuānn
7967,貧惰骨,pûn-tuānn-kut
7967,貧惰骨,pân-tuānn-kut
7967,貧惰骨,pān-tuānn-kut
7995,連鞭,liâm-pinn
8019,頂勻,tíng-iân
8075,陸橋,lo̍k-kiô
8123,麻雀,mâ-tshiok
8123,麻雀,bâ-tshiok
8124,麻雀子仔,mâ-tshiok-jí-á/mâ-tshiok-lí-á
8124,麻雀子仔,bâ-tshiok-jí-á/bâ-tshiok-lí-á
8133,鳥鼠擗仔,niáu-tshí-phiak-á/niáu-tshú-phiak-á
8134,鳥鼠觸仔,niáu-tshí-ta̍k-á/niáu-tshú-ta̍k-á
8139,鳥擗仔,tsiáu-phiak-á
8148,魚鱗𤺅仔,hî-lân-tshuì-á/hû-lân-tshuì-á
8163,喂,--ueh
8268,報恩,pò-in
8292,就,tiō
8292,就,tio̍h
8292,就,to̍h
8293,媒人,muî-lâng
8295,媒人公,muî-lâng-kong
8296,媒人婆,muî-lâng-pô
8297,媒人喙,muî-lâng-tshuì
8298,媒人禮,muî-lâng-lé
8305,就是,tsiū sī
8305,就是,tiō sī
8306,就按呢,tsū-án-ne
8329,幾若,kuí-lō
8329,幾若,kuí-ā
8330,幾若工,kuí-ā kang
8354,擗,phiak
8359,提,thue̍h
8359,提,e̍h
8381,惱氣,nóo-khì
8390,掌握,tsiáng-ak
8395,描寫,biâu-siá
8405,掌權,tsiáng-khuân
8405,掌權,tsióng-kuân
8429,握手,at-tshiú
8444,敢若,kán-ná
8444,敢若,ká-ná
8450,斑馬,pan-má
8451,斑馬線,pan-bé-suànn
8460,敨開,tháu-khui
8461,散會,suànn-huē
8466,景緻,kíng-tī
8488,朝代,tiâu-tē
8503,椅條,í-tiâu
8546,湖,hôo
8554,測量,tshik-liōng
8555,湠開,thuànn-khui
8572,猶,iah
8572,猶,ah
8572,猶,á
8572,猶,iá
8577,猴山仔,kâu-san-á
8581,無心情,bô-sim-tsiânn
8582,無天理,bô thian-lí
8584,猶毋過,iah-m̄-kò
8584,猶毋過,ah-m̄-kò
8584,猶毋過,á-m̄-kò
8584,猶毋過,iá-m̄-kò
8586,無仝,bô kâng
8596,猶未,iah-buē/iah-bē
8596,猶未,ah-buē/ah-bē
8596,猶未,á-buē/á-bē
8596,猶未,iá-buē/iá-bē
8597,無打緊,--bô-tá-kín
8610,無所謂,bû-sóo-uì
8617,猶是,iah-sī
8617,猶是,ah-sī
8617,猶是,á-sī
8617,猶是,iá-sī
8621,無限,bô-hān
8633,無偌久,bô-juā-kú
8633,無偌久,bô-luā-kú
8635,無啥物,bô-siánn-mi̍h
8649,無傳,bô-thuân
8653,牌照,pâi-tsiò
8655,無路用,bô-lōo-iōng
8660,無疑悟,bô-gî-gōo
8662,牚腿,thì-thuí
8663,猶閣,iah-koh
8663,猶閣,ah-koh
8663,猶閣,á-koh
8663,猶閣,iá-koh
8664,猶閣咧,iah-koh teh
8664,猶閣咧,ah-koh teh
8664,猶閣咧,á-koh teh
8664,猶閣咧,iá-koh teh
